Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-08-17,172.77000427246094,176.14999389648438,172.57000732421875,174.5500030517578,79542000,0,0
2022-08-18,173.75,174.89999389648438,173.1199951171875,174.14999389648438,62290100,0,0
2022-08-19,173.02999877929688,173.74000549316406,171.30999755859375,171.52000427246094,70346300,0,0
2022-08-22,169.69000244140625,169.86000061035156,167.13999938964844,167.57000732421875,69026800,0,0
2022-08-23,167.0800018310547,168.7100067138672,166.64999389648438,167.22999572753906,54147100,0,0
2022-08-24,167.32000732421875,168.11000061035156,166.25,167.52999877929688,53841500,0,0
2022-08-25,168.77999877929688,170.13999938964844,168.35000610351562,170.02999877929688,51218200,0,0
2022-08-26,170.57000732421875,171.0500030517578,163.55999755859375,163.6199951171875,78961000,0,0
2022-08-29,161.14999389648438,162.89999389648438,159.82000732421875,161.3800048828125,73314000,0,0
2022-08-30,162.1300048828125,162.55999755859375,157.72000122070312,158.91000366210938,77906200,0,0
2022-08-31,160.30999755859375,160.5800018310547,157.13999938964844,157.22000122070312,87991100,0,0
2022-09-01,156.63999938964844,158.4199981689453,154.6699981689453,157.9600067138672,74229900,0,0
2022-09-02,159.75,160.36000061035156,154.97000122070312,155.80999755859375,76905200,0,0
2022-09-06,156.47000122070312,157.08999633789062,153.69000244140625,154.52999877929688,73714800,0,0
2022-09-07,154.82000732421875,156.6699981689453,153.61000061035156,155.9600067138672,87449600,0,0
2022-09-08,154.63999938964844,156.36000061035156,152.67999267578125,154.4600067138672,84923800,0,0
2022-09-09,155.47000122070312,157.82000732421875,154.75,157.3699951171875,68028800,0,0
2022-09-12,159.58999633789062,164.25999450683594,159.3000030517578,163.42999267578125,104956000,0,0
2022-09-13,159.89999389648438,160.5399932861328,153.3699951171875,153.83999633789062,122656600,0,0
2022-09-14,154.7899932861328,157.10000610351562,153.61000061035156,155.30999755859375,87965400,0,0
2022-09-15,154.64999389648438,155.24000549316406,151.3800048828125,152.3699951171875,90481100,0,0
2022-09-16,151.2100067138672,151.35000610351562,148.3699951171875,150.6999969482422,162157000,0,0
